Sample ID,Treatment,Glycerol,Inositol,Proline,Trehalose
F2,Chilled,6.584601646,0.297110919,1.824786533,0
F3,Frozen,3.442651935,0.189630787,2.097969125,0.098357347
F5,Frozen,1.935985441,0.188586487,1.11329596,0.214828455
F6,Chilled,1.301502818,0.133681577,0.726505199,0.335950073
F7,Frozen,2.655555251,0.178522264,1.362302211,0
F10,Chilled,0,0.389934466,1.679501584,0
F14,Chilled,0,0.444792344,0.998129774,0
F18,Control,1.346215042,0.116021823,0.796175403,0
F19,Control,0,0.286815078,0.908285419,0.456229273
F21,Control,3.285043169,0.196069989,1.742310645,0
F24,Control,1.105423786,0.240800579,2.349438565,0
M2,Frozen,0.652579362,0.313452119,1.126352851,0.501322232
M3,Frozen,10.54602596,0.539074423,1.60654595,N/A
M4,Chilled,3.95997022,0.150887283,1.829984153,0.061802717
M6,Chilled,0.511714214,0.20487425,0.780919459,1.213883544
M7,Frozen,1.428185981,0.211406865,1.521707171,1.182219752
M14,Chilled,1.218004085,0.092830011,0.448069022,0
M15,Frozen,3.433274674,0.269013696,1.894803086,0.073898715
M16,Chilled,3.034007035,N/A,3.180314668,0
M17,Control,2.694979733,0.403981584,1.271672184,1.592233187
M18,Control,5.565958143,0.3691515,3.613937818,0
M20,Control,2.928381339,0.440308965,1.434433406,0.256017531
M21,Control,1.498083972,0.283086104,1.36880432,0.375588285
F1-,Chilled,4.895595368,0.089219919,2.422333396,0.548300555
F2-,Frozen,3.164591586,0.144502624,1.529905689,0
F3-,Chilled,0,0.237351414,1.604931203,0
F6-,Frozen,3.307308462,0.148857144,1.593392014,0.10439144
F8-,Frozen,3.185008306,0.173256164,1.743079742,0.650144765
F9-,Control,0,0.271103743,1.535149669,0.31814537
F12-,Control,0,0.228301829,1.245502391,0.050614023
F13-,Chilled,6.090740714,0.18992419,3.427938769,1.464888913
F15-,Chilled,0,0.18609868,1.267807539,0
F18-,Frozen,N/A,0.470975966,1.63825769,0.307401928
F19-,Chilled,2.074270115,0.349784964,2.50903103,0
F22-,Control,1.333848237,0.241678133,0.816881325,1.376213587
F23-,Control,3.368472837,0.187190762,1.783945198,0
M3-,Chilled,8.833594772,0.246494604,2.378398219,N/A
M5-,Chilled,0,0.237535617,1.218288388,0
M7-,Frozen,0.335896528,0.105120346,0.670834442,0.168395501
M9-,Control,0,0.310459022,1.454333455,0.837634648
M10-,Control,7.101628838,0.190525807,2.050922937,0
M13-,Chilled,2.151094935,0.312759936,1.633137731,0
M14-,Frozen,N/A,0.67767271,2.846721598,0
M15-,Chilled,0,0.301569548,1.447852803,1.919213117
M16-,Frozen,N/A,0.376207028,1.369081757,0.67839463
M22-,Control,0,0.367492925,2.513740582,0.607471554
M23-,Control,5.089914775,0.24815225,1.510671321,1.007066141
